date,product,category,quantity,price
2024-01-01,iPhone 15,电子产品,2,6999.00
2024-01-01,MacBook Pro,电子产品,1,14999.00
2024-01-01,运动T恤,服装,5,99.00
2024-01-02,iPhone 15,电子产品,3,6999.00
2024-01-02,AirPods,电子产品,4,1299.00
2024-01-02,运动鞋,服装,2,599.00
2024-01-03,iPad Air,电子产品,2,4599.00
2024-01-03,牛仔裤,服装,3,299.00
2024-01-03,面包,食品,10,8.50
2024-01-04,MacBook Pro,电子产品,1,14999.00
2024-01-04,咖啡豆,食品,5,68.00
2024-01-04,运动T恤,服装,8,99.00
2024-01-05,iPhone 15,电子产品,2,6999.00
2024-01-05,牛奶,食品,20,6.50
2024-01-05,连衣裙,服装,1,399.00
