record_id,learner_id,skill_id,score,completion_date,study_hours
R001,L001,S001,92,2023-03-01,40
R002,L001,S003,88,2023-04-15,35
R003,L001,S004,78,2023-06-20,50
R004,L001,S005,85,2023-07-10,45
R005,L001,S006,90,2023-09-01,60
R006,L001,S001,95,2023-10-15,10
R007,L001,S008,72,2024-01-20,70
R008,L002,S002,95,2023-05-10,30
R009,L002,S005,80,2023-07-20,50
R010,L002,S007,88,2023-10-01,55
R011,L002,S002,97,2023-11-15,15
R012,L002,S009,75,2024-02-10,65
R013,L003,S001,70,2023-08-15,35
R014,L003,S003,65,2023-09-20,30
R015,L003,S002,72,2023-10-10,32
R016,L003,S001,82,2024-01-05,20
R017,L004,S001,88,2023-04-01,38
R018,L004,S003,90,2023-05-15,32
R019,L004,S004,82,2023-08-01,48
R020,L004,S006,85,2023-10-20,55
R021,L004,S005,78,2023-12-01,42
R022,L004,S008,68,2024-03-01,72
R023,L004,S010,70,2024-03-15,60
R024,L005,S002,90,2023-09-10,28
R025,L005,S001,85,2023-10-01,36
R026,L005,S005,82,2023-12-15,44
R027,L005,S007,78,2024-01-20,52
R028,L005,S003,80,2024-02-10,30
